name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Texas,2023-06-17,95.4,79.1,87,109.2,79.1,96.9,76.5,72.6,0,0,0,,0,0,23,10.9,173.2,1009.1,42.6,8.7,214.9,18.6,8,100,2023-06-17T06:29:09,2023-06-17T20:34:49,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-06-18,104.1,79.7,89.9,114.3,79.7,97.6,74.3,64.4,0,0,0,,0,0,26.1,12.3,181.4,1006.2,42.7,9.3,263.5,22.8,8,100,2023-06-18T06:29:18,2023-06-18T20:35:06,0.02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-06-19,101.3,79.7,89.2,115.5,79.7,98,75.2,66,0,0,0,,0,0,21.9,13.1,170.8,1007.1,37.5,9.8,244.3,20.9,8,100,2023-06-19T06:29:28,2023-06-19T20:35:21,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-06-20,103.3,80,89.9,116.3,80,98.8,74.6,64.1,0,0,0,,0,0,24.2,12.3,180.6,1006.5,31.3,9.1,246,21.3,8,75,2023-06-20T06:29:39,2023-06-20T20:35:35,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,72254413958,D9418,E5093"
Texas,2023-06-21,101.9,74.3,86.9,117,74.3,95.5,75.2,70.8,0.266,100,12.5,rain,0,0,36.2,15.1,152.8,1006.7,42.4,8.9,289.3,25,8,100,2023-06-21T06:29:51,2023-06-21T20:35:49,0.11,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-06-22,92.3,74.9,82.6,100.5,74.9,86,71,69.7,0.076,100,8.33,rain,0,0,19.5,9.3,57.6,1008.9,21,9.7,201.4,17.4,8,75,2023-06-22T06:30:04,2023-06-22T20:36:00,0.15,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-06-23,97.8,77.7,86.7,107.6,77.7,92.8,74.1,68.9,0,0,0,,0,0,23.5,13.3,146,1011.3,32.1,9.2,272.8,23.5,8,75,2023-06-23T06:30:19,2023-06-23T20:36:11,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-06-24,100.5,78.2,88.2,108.5,78.2,94.1,73.1,64.2,0,0,0,,0,0,31.1,13.4,180.9,1012.1,16.8,9.9,282,24.5,9,60,2023-06-24T06:30:35,2023-06-24T20:36:20,0.21,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-06-25,99.8,79.6,88.7,111.2,79.6,95.5,73.6,63.4,0,0,0,,0,0,26.4,11.4,180.7,1011.5,26.8,9.9,264.8,22.9,9,60,2023-06-25T06:30:51,2023-06-25T20:36:28,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-06-26,101.5,77.5,88.8,109,77.5,95.1,72.8,62.5,0,0,0,,0,0,26.4,11.6,178.4,1010.8,8,9.9,283,24.5,9,30,2023-06-26T06:31:09,2023-06-26T20:36:35,0.25,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-06-27,102.7,76.2,88.9,109.9,76.2,94.6,71.9,60.8,0,0,0,,0,0,21.9,12.7,171,1010.5,3.2,9.9,284.6,24.7,9,30,2023-06-27T06:31:28,2023-06-27T20:36:41,0.31,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-06-28,101.3,76.6,88,105.6,76.6,91.4,69.9,59.3,0,0,0,,0,0,24.2,12.2,174.9,1011.6,10,9.9,282,24.4,9,30,2023-06-28T06:31:48,2023-06-28T20:36:45,0.34,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-06-29,98.8,78.5,87.9,103.3,78.5,91.7,70.4,59.6,0,0,0,,0,0,23,11.4,171,1012.7,26.7,9.9,287.4,24.7,9,60,2023-06-29T06:32:09,2023-06-29T20:36:47,0.38,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-06-30,99.1,77.5,87.4,105,77.5,90.8,70.1,59.8,0,0,0,,0,0,23.9,10.8,170.6,1013,37.5,9.9,272.3,23.3,9,30,2023-06-30T06:32:31,2023-06-30T20:36:49,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-07-01,99.2,77.5,87,105.2,77.5,91,71.4,63.3,0,0,0,,0,0,21.9,10.5,174.2,1013.3,51.1,9.9,229,19.8,8,30,2023-07-01T06:32:54,2023-07-01T20:36:48,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-07-02,96.1,78.5,86.3,100.6,78.5,88.8,68.2,56.5,0,0,0,,0,0,20.8,9.1,163.6,1012.2,27.1,9.9,201.8,17.4,7,30,2023-07-02T06:33:17,2023-07-02T20:36:47,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-07-03,96.2,77.1,87.4,101.3,77.1,91.4,69.5,57.1,0,0,0,,0,0,17.2,9.6,177.2,1012.2,23.2,9.9,232.5,20.1,8,30,2023-07-03T06:33:42,2023-07-03T20:36:44,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
Texas,2023-07-04,95.2,77.1,85.2,99.5,77.1,89.5,71.2,64.7,0,0,0,,0,0,18.3,10.2,159.2,1013.8,21.9,9.9,177,15.3,7,30,2023-07-04T06:34:07,2023-07-04T20:36:39,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
Texas,2023-07-05,96.8,78.2,86.5,106.1,78.2,91.9,72.7,65.8,0,0,0,,0,0,21.6,12.6,161.3,1014.6,41.6,9.9,204.8,17.6,8,60,2023-07-05T06:34:34,2023-07-05T20:36:34,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
Texas,2023-07-06,89.3,77.9,83,98.4,77.9,87.2,73,72.8,0.04,100,12.5,rain,0,0,26,12.4,162.6,1014.7,51.2,9.9,182.2,15.9,7,30,2023-07-06T06:35:00,2023-07-06T20:36:26,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
Texas,2023-07-07,92.2,74.4,82.6,98.6,74.4,85.7,71.1,70.1,0,0,0,,0,0,23.9,12,166.6,1013,45.9,9.9,202.6,17.7,8,30,2023-07-07T06:35:28,2023-07-07T20:36:18,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
Texas,2023-07-08,100.6,76.4,88,105.7,76.4,92,70.9,61.1,0,0,0,,0,0,20.8,10.2,183.7,1011.7,32.1,9.9,263.8,22.9,9,30,2023-07-08T06:35:57,2023-07-08T20:36:07,0.68,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
Texas,2023-07-09,100.5,78.5,89.3,106.5,78.5,94.1,71.1,58.5,0,0,0,,0,0,23.9,15.4,180.8,1010.7,18,9.9,270.4,23.3,9,30,2023-07-09T06:36:26,2023-07-09T20:35:56,0.75,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
Texas,2023-07-10,104,78.6,90.3,109.2,78.6,95.7,71.4,58,0,0,0,,0,0,26.4,9.2,181.1,1011.8,18.2,9.9,278,23.9,9,60,2023-07-10T06:36:55,2023-07-10T20:35:43,0.75,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
Texas,2023-07-11,101.6,78.7,89.9,110,78.7,96.1,72.4,59.6,0,0,0,,0,0,28.3,13.6,177,1012,19.3,9.9,236.6,20.5,8,60,2023-07-11T06:37:26,2023-07-11T20:35:28,0.79,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
Texas,2023-07-12,105.9,79.8,91.2,111.8,79.8,97.3,71.5,56.7,0,0,0,,0,0,28.6,17.2,185.3,1010.8,22.6,9.9,278.7,24.3,9,60,2023-07-12T06:37:56,2023-07-12T20:35:12,0.82,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
Texas,2023-07-13,105.4,79.3,91,111.5,79.3,97.4,71.9,58.4,0,0,0,,0,0,26.3,15.9,177.6,1010.1,33.8,9.9,279.5,24,9,30,2023-07-13T06:38:28,2023-07-13T20:34:54,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
Texas,2023-07-14,104.2,79.6,90.6,108.1,79.6,95.5,70.9,57.5,0,0,0,,0,0,26.4,14.8,177.9,1010.5,32.5,9.9,254.8,21.9,9,30,2023-07-14T06:39:00,2023-07-14T20:34:35,0.89,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
Texas,2023-07-15,104.5,78.2,90.8,106.8,78.2,93.9,68.5,54.4,0,0,0,,0,0,24.2,14.3,182.3,1012.2,28.5,9.8,277.8,24,9,30,2023-07-15T06:39:32,2023-07-15T20:34:15,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
